,0
che,10083
di,5424
la,5010
il,4496
per,3628
non,3615
in,2735
io,2483
con,2068
se,1805
si,1746
come,1718
quale,1614
da,1530
le,1471
più,1459
egli,1420
ciò,1371
gli,1365
un,1335
era,1249
disse,1209
ma,1201
donna,1180
del,1130
una,1107
della,1071
tu,1033
questo,956
sua,955
cosa,936
così,923
al,919
mi,887
sì,878
voi,862
ne,852
suo,814
lui,797
alla,786
fosse,722
ella,691
quello,679
fu,677
vi,665
senza,663
né,640
lei,624
fatto,563
molto,552
quali,540
de,535
altro,526
me,510
dove,505
ti,497
questa,493
aveva,488
poi,484
mai,476
loro,475
qual,472
quella,470
casa,466
fare,454
nella,450
giovane,449
alcuna,443
altra,425
già,421
lo,418
ogni,413
uomo,411
cose,411
esser,407
tanto,401
gran,398
mio,396
assai,396
nel,393
messer,387
suoi,383
cui,383
essere,375
quando,365
tutto,363
delle,361
avea,360
bene,360
ora,353
tutti,339
mia,335
sopra,333
dire,332
avendo,331
cominciò,330
fece,328
essendo,324
noi,323
tempo,321
dì,320
uno,317
quivi,315
ancora,315
sia,312
far,311
li,310
re,310
rispose,308
parole,307
ben,293
chi,288
donne,288
quanto,287
stato,284
uomini,279
parte,278
due,277
altri,274
ha,274
sono,270
lor,269
dio,268
ho,265
marito,262
appresso,251
andò,250
volte,249
amore,249
adunque,249
avesse,244
moglie,243
notte,243
aver,241
te,239
niuna,236
poco,231
forte,230
ché,229
quasi,227
son,222
prima,221
alquanto,221
insieme,219
ci,219
alcun,216
dell,215
sé,213
alcuno,213
altre,213
pur,210
queste,208
camera,207
allora,206
detto,203
oltre,203
alle,202
quel,201
fatta,201
avere,199
sue,197
via,197
qui,196
quelle,195
acciò,195
là,192
persona,191
volta,191
bella,191
molte,187
erano,187
colui,185
forse,184
essi,180
all,180
tutta,179
dal,179
dopo,177
tra,176
padre,176
modo,172
udendo,169
vero,167
mondo,167
frate,166
tutte,165
molti,165
andare,163
seco,162
sempre,161
luogo,161
dalla,161
grande,161
calandrino,160
venne,159
vita,158
col,158
avvenne,158
vedere,157
tua,157
piacere,156
fatti,154
ebbe,154
quegli,153
perché,153
animo,151
venire,148
verso,147
troppo,147
potesse,147
quantunque,146
hai,144
so,144
buona,144
stata,142
novella,142
madonna,141
viso,140
amor,140
figliuola,140
infino,140
veggendo,139
vide,139
idio,138
certo,138
secondo,137
abate,137
festa,136
fante,135
prestamente,135
venuto,133
tosto,132
vostra,132
nome,131
giorno,130
costui,128
nelle,128
femina,126
dovesse,126
pure,124
tuo,119
anzi,117
esso,117
fuori,117
mano,116
vostro,116
solamente,115
costei,115
su,115
morte,115
giovani,115
meglio,115
maggior,114
medesimo,114
guisa,114
male,114
letto,113
fa,113
co,112
avanti,111
capo,111
veduto,110
altrui,110
davanti,109
nell,109
bruno,108
incominciò,107
terra,107
fortuna,107
dir,106
cagione,106
corpo,106
voglio,105
chiamato,105
questi,105
preso,104
domandò,104
innanzi,103
stare,103
dovere,103
nol,103
morto,101
dentro,101
poteva,101
venuta,99
facesse,98
mattina,98
reina,98
buono,98
grandissima,98
or,97
volesse,97
tre,97
tornò,97
essa,96
dello,96
abbia,93
consiglio,93
fine,93
mani,93
uscio,92
buon,92
miei,92
sarebbe,92
maestro,92
dicendo,92
subitamente,91
intendo,91
figliuolo,91
avete,90
pareva,90
amico,90
denari,90
degli,88
pietro,88
parenti,87
gliele,87
poté,87
compagni,86
paura,86
similmente,85
niente,85
città,85
grandissimo,84
tanta,84
niuno,83
parve,83
sapere,83
possa,83
conte,82
volentieri,82
maniera,81
udito,81
potere,81
seguente,81
avrebbe,81
cavaliere,80
meno,80
nostra,80
piè,80
può,80
sù,80
sentendo,80
prese,79
ch,79
dico,79
qua,79
dover,79
occhi,79
mandò,79
gentile,78
diceva,78
acqua,78
dee,78
costoro,77
fratelli,77
volere,77
dall,77
furono,77
mise,77
gisippo,77
grazia,76
fossero,76
faccendo,76
voleva,76
posso,75
ve,75
madre,75
fede,75
piace,75
credo,75
anni,75
buffalmacco,74
poscia,74
faceva,74
farò,74
voler,73
onore,73
messere,72
potuto,72
vergogna,72
fatte,72
ciascuno,72
ciascun,71
andar,71
hanno,71
oggi,71
colei,71
fé,71
lieto,70
dare,70
lungo,70
prete,69
coloro,69
pare,69
forza,69
panni,69
solo,69
figliuoli,69
trovò,68
mentre,68
sapeva,68
gentili,67
siete,67
fanno,67
entrò,67
presente,67
mangiare,67
agli,66
medico,66
sotto,66
santo,66
veduta,65
lagrime,65
priego,65
mal,65
torello,65
diletto,64
firenze,64
chiesa,64
avuto,64
gentil,64
nostro,63
speranza,63
signore,63
faccia,63
femine,63
disidero,63
venir,63
vedendo,62
fossi,62
compagnia,62
andava,62
veder,62
conoscendo,62
peccato,62
signor,61
piacer,61
andasse,61
no,61
dolente,61
ordine,60
uom,60
sera,60
venisse,60
noia,59
deh,59
guari,59
currado,59
cuore,59
parlare,59
fallo,59
san,59
dato,58
amante,58
vicino,58
sappiendo,58
piacesse,58
dicesse,58
ventura,58
corte,58
sarà,58
fatica,57
voglia,57
stati,57
giardino,57
fuoco,57
anima,57
costumi,57
volle,57
servigio,56
morire,56
medesima,56
belle,56
mie,56
cara,55
incontanente,55
star,55
novelle,55
amici,55
avessi,55
sommamente,55
eran,55
tedaldo,55
allato,55
piacque,55
poter,55
presa,55
piagnendo,55
lungamente,55
stette,55
valente,55
monaco,54
mille,54
tal,54
tito,54
avventura,54
cioè,54
diede,54
mare,54
comandò,54
senno,54
stesso,54
quindi,53
partito,53
ricciardo,53
andato,53
bellezza,53
gianni,53
dormire,53
indugio,52
tornare,52
ancor,51
vuol,51
cominciarono,51
potrebbe,51
andreuccio,51
messo,51
mente,51
parola,51
cavallo,51
presso,50
savio,50
pensò,50
giù,50
fecero,50
nave,50
potendo,49
torre,49
contento,49
dolore,49
bisogno,49
chiamata,49
chiamare,49
avuta,49
caro,49
temendo,49
cena,48
pensiero,48
altramenti,48
tuoi,48
niun,48
sola,48
famiglia,48
parti,48
alessandro,48
lieta,48
dalle,47
ricco,47
vedi,47
maggiore,47
ruggieri,47
tavola,47
saladino,47
volendo,46
conosciuto,46
gl,46
dirò,46
tante,46
va,46
contro,46
fuor,46
punto,46
ferondo,45
sai,45
bello,45
piagnere,45
prieghi,45
